lat,long,census_code
32.857146,-104.412724,350150010001062
38.431556,-92.840072,291414703002000
39.365107,-77.413964,240217510031051
34.90747,-106.694865,350019407001141
37.216367,-76.604942,510950801021067
38.404207,-77.419184,511790101061001
42.012212,-93.058651,191279503001044
40.87227,-98.368698,310790013002057
27.390015,-99.475622,484790018172004
40.559483,-82.805943,391179652001018
34.984406,-81.205334,450910615021013
44.788657,-93.594014,270190910002049
33.928058,-86.022294,010550105011023
21.3328,-157.929051,150039802001004
33.042946,-111.379103,040210009011008
35.408723,-89.547909,471670410002049
33.470625,-112.073702,040131118004008
27.246853,-98.124549,480479501001263
32.847072,-80.014287,450190039002053
31.549277,-97.077623,483090018002051
32.568134,-116.996883,060730100151035
30.622376,-92.781593,220039504003032
31.805626,-91.395017,221070003002050
46.497911,-84.345852,260339703004054
41.154752,-77.337047,420350305002068
39.642682,-94.046435,290259502004104
28.883301,-97.909196,482559702002011
38.787837,-104.776715,080410045011074
42.745125,-73.81586,360010137031048
32.016469,-106.41112,350130018042014
38.978999,-91.504742,291399702002049
41.727683,-111.836178,490050010022015
41.65433,-93.585344,191530105003012
45.608888,-121.203622,410659704002003
39.572529,-119.809926,320310026172010
32.828551,-97.099661,484391135111000
35.622382,-95.974093,401110003003045
32.841156,-97.132054,484391136283001
40.489338,-78.702639,420210125001054
30.832093,-92.638259,220039502004001
29.771542,-100.612248,481379503002794
44.719159,-73.468618,360191008003013
37.019872,-93.205169,290430203022057
41.284248,-95.863942,191550302004006
26.151929,-97.350906,480610123011173
41.011089,-95.882942,310259656004054
34.081977,-80.976258,450790108051028
44.955742,-93.085504,271230330002035
46.603304,-120.508152,530770001002036
31.397767,-103.517999,483899501001892
42.207781,-78.01268,360039507001045
38.97103,-90.963708,291138103012001
47.935765,-97.055633,380350117001136
43.648165,-95.587723,271051054001006
28.74837,-99.845425,485079503011456
34.29499,-83.824406,131390011011025
39.377503,-94.793517,291650305001007
30.479048,-90.095151,221030405012087
37.511563,-98.824534,201519686002437
43.137512,-115.672649,160399603001004
31.793411,-106.369373,481410034022003
26.126087,-81.765008,120210106043011
39.046323,-95.664949,201770040002004
33.750491,-118.296675,060372965003002
36.156808,-86.7719,470370195001041
41.975308,-91.670108,191130022001059
40.438962,-99.37062,311379670001064
38.313321,-81.711221,540390123003070
26.2002,-97.71681,480610105002023
35.776075,-78.640376,371830501001088
35.158037,-117.86201,060290065002695
38.942379,-105.153965,081190101062035
41.405083,-81.498566,390351331041027
32.992938,-117.162631,060730170291031
42.255105,-79.50367,360130364013021
37.114037,-113.43523,490532708011000
43.673343,-111.911745,160519603001049
25.706054,-80.29242,120860076031031
42.535299,-113.791845,160319504003059
42.800302,-77.816286,360510302013059
42.314031,-83.202528,261635743001057
33.899167,-84.574089,130670310051001
